,size,interval,test_acc,train_acc,eps_0.050
0,2,3,0.398,0.685,0.0894
1,2,47,0.373,0.772,0.0915
2,2,85,0.375,0.695,0.1
3,2,77,0.362,0.748,0.0955
4,2,82,0.367,0.737,0.0949
5,2,28,0.382,0.67,0.0992
6,2,24,0.379,0.684,0.1
7,2,74,0.364,0.769,0.1017
8,2,87,0.374,0.741,0.0908
9,2,76,0.373,0.682,0.0963
10,2,78,0.372,0.787,0.0984
11,2,70,0.366,0.726,0.0947
12,2,18,0.381,0.706,0.0947
13,2,38,0.381,0.717,0.0939
14,2,46,0.37,0.63,0.0891
15,2,69,0.364,0.737,0.1005
16,2,81,0.366,0.66,0.0897
17,2,55,0.364,0.674,0.0939
18,2,31,0.373,0.632,0.1018
19,2,36,0.383,0.641,0.0929
20,2,49,0.375,0.674,0.0879
21,2,89,0.371,0.699,0.086
22,2,53,0.377,0.59,0.091
23,2,57,0.368,0.679,0.0965
24,2,84,0.37,0.678,0.0873
25,2,67,0.378,0.699,0.099
26,2,7,0.389,0.754,0.1088
27,2,51,0.371,0.654,0.1041
28,2,99,0.373,0.663,0.0971
29,2,72,0.378,0.689,0.0894
30,2,19,0.38,0.658,0.0848
31,2,34,0.372,0.639,0.0938
32,2,95,0.371,0.761,0.0969
33,2,73,0.365,0.727,0.0991
34,2,61,0.367,0.653,0.0869
35,2,11,0.385,0.742,0.0984
36,2,1,0.406,0.629,0.0963
37,2,12,0.391,0.702,0.0896
38,2,32,0.384,0.69,0.0867
39,2,26,0.373,0.671,0.104
40,2,80,0.365,0.662,0.0925
41,2,88,0.375,0.609,0.0843
42,2,43,0.373,0.636,0.097
43,2,68,0.374,0.733,0.0965
44,2,56,0.374,0.823,0.1038
45,2,59,0.368,0.782,0.0998
46,2,86,0.379,0.667,0.086
47,2,20,0.376,0.663,0.0894
48,2,50,0.377,0.758,0.0938
49,2,39,0.377,0.689,0.1026
50,2,23,0.382,0.702,0.0941
51,2,15,0.38,0.696,0.0991
52,2,75,0.372,0.656,0.0874
53,2,30,0.373,0.709,0.099
54,2,42,0.383,0.63,0.0778
55,2,79,0.369,0.706,0.0993
56,2,17,0.378,0.654,0.0817
57,2,60,0.37,0.708,0.1003
58,2,16,0.371,0.687,0.0979
59,2,71,0.37,0.7,0.0942
60,2,93,0.37,0.688,0.09
61,2,35,0.382,0.701,0.1016
62,2,4,0.397,0.682,0.0958
63,2,90,0.365,0.672,0.0913
64,2,41,0.371,0.658,0.0928
65,2,66,0.37,0.713,0.0928
66,2,6,0.399,0.714,0.1022
67,2,21,0.369,0.676,0.1007
68,2,97,0.365,0.761,0.0999
69,2,33,0.391,0.702,0.0954
70,2,63,0.363,0.612,0.0891
71,2,45,0.381,0.656,0.0923
72,2,98,0.369,0.731,0.1012
73,2,44,0.379,0.806,0.1052
74,2,14,0.384,0.692,0.0793
75,2,27,0.377,0.695,0.0926
76,2,9,0.389,0.622,0.0805
77,2,25,0.38,0.714,0.0952
78,2,83,0.362,0.712,0.1017
79,2,48,0.37,0.712,0.0911
80,2,62,0.37,0.848,0.1077
81,2,92,0.383,0.689,0.0958
82,2,94,0.37,0.681,0.0923
83,2,22,0.373,0.739,0.1002
84,2,64,0.367,0.626,0.0885
85,2,54,0.381,0.664,0.0946
86,2,40,0.379,0.66,0.0889
87,2,91,0.369,0.705,0.1004
88,2,8,0.388,0.647,0.0948
89,2,10,0.385,0.597,0.0825
90,2,29,0.377,0.623,0.0886
91,2,52,0.372,0.691,0.0933
92,2,13,0.381,0.814,0.1059
93,2,37,0.379,0.641,0.0976
94,2,2,0.405,0.675,0.0907
95,2,96,0.365,0.669,0.08
96,2,65,0.37,0.682,0.0806
97,2,58,0.371,0.686,0.0966
98,2,5,0.399,0.694,0.0851
,,,,,0.094179798
,,,,,0.0778
,,,,,0.1088