,size,interval,temp,test_acc,train_acc,eps_0.100
0,2,85,6.0,0.4131,0.64454,0.1133
1,2,55,3.0,0.4194,0.74806,0.122
2,2,15,8.0,0.4078,0.6378,0.1021
3,2,45,4.0,0.425,0.794,0.1178
4,2,20,7.0,0.4129,0.67014,0.1064
5,2,95,7.0,0.4156,0.73242,0.1167
6,2,65,1.0,0.4106,0.65944,0.1076
7,2,65,10.0,0.415,0.66598,0.1055
8,2,45,3.0,0.4226,0.72096,0.1163
9,2,60,8.0,0.4185,0.6565,0.1135
10,2,20,5.0,0.4183,0.71638,0.1113
11,2,75,1.0,0.4085,0.67492,0.1111
12,2,80,7.0,0.4131,0.71716,0.1171
13,2,30,6.0,0.4164,0.6062,0.11
14,2,70,9.0,0.4109,0.69944,0.11
15,2,10,3.0,0.427,0.65982,0.1073
16,2,25,4.0,0.4185,0.79752,0.1148
17,2,15,5.0,0.4158,0.69176,0.1086
18,2,100,8.0,0.4149,0.72774,0.1179
19,2,35,5.0,0.4199,0.712,0.1102
20,2,80,9.0,0.4161,0.6919,0.1119
21,2,15,3.0,0.4278,0.79902,0.1131
22,2,0,1.0,0.4076,0.65894,0.09
23,2,70,2.0,0.4139,0.68562,0.1135
24,2,20,6.0,0.4171,0.64388,0.1069
25,2,40,1.0,0.4069,0.62622,0.1044
26,2,50,9.0,0.4154,0.66202,0.1078
27,2,40,6.0,0.4191,0.72664,0.1104
28,2,75,7.0,0.4127,0.64544,0.1124
29,2,95,9.0,0.4158,0.69002,0.111
30,2,50,2.0,0.4183,0.63548,0.1082
31,2,75,9.0,0.4105,0.67676,0.1122
32,2,65,3.0,0.42,0.65012,0.1177
33,2,75,3.0,0.4142,0.72736,0.1155
34,2,70,5.0,0.4194,0.75072,0.1131
35,2,80,4.0,0.4192,0.76946,0.1215
36,2,90,4.0,0.4163,0.77116,0.1199
37,2,50,4.0,0.426,0.67652,0.1171
38,2,35,6.0,0.4158,0.66648,0.1144
39,2,30,8.0,0.4106,0.7501,0.11
40,2,15,1.0,0.4502,0.7423,0.1068
41,2,45,6.0,0.4119,0.72876,0.1118
42,2,0,0.0,0.012,0.011,0.0123
43,2,30,1.0,0.414,0.69952,0.1107
44,2,90,8.0,0.4146,0.7091,0.1205
45,2,0,9.0,0.4106,0.59806,0.1031
46,2,25,10.0,0.4122,0.66412,0.1061
47,2,80,10.0,0.413,0.75546,0.1139
48,2,45,8.0,0.413,0.64176,0.1084
49,2,35,3.0,0.4242,0.6475,0.1122
50,2,70,8.0,0.4138,0.70494,0.1116
51,2,50,10.0,0.4138,0.6963,0.1072
52,2,30,9.0,0.4179,0.67218,0.1114
53,2,85,8.0,0.4123,0.62822,0.1084
54,2,85,4.0,0.4174,0.80788,0.1199
55,2,40,4.0,0.4197,0.73536,0.1174
56,2,70,3.0,0.4177,0.67996,0.1198
57,2,45,1.0,0.413,0.65836,0.1083
58,2,50,1.0,0.409,0.68856,0.1166
59,2,90,7.0,0.4127,0.69032,0.114
60,2,90,3.0,0.4121,0.66496,0.1202
61,2,85,7.0,0.4147,0.633,0.1137
62,2,75,2.0,0.4165,0.59266,0.1113
63,2,50,8.0,0.4096,0.7962,0.1156
64,2,100,9.0,0.4093,0.6372,0.1113
65,2,0,10.0,0.4121,0.701,0.113
66,2,35,7.0,0.4131,0.654,0.1038
67,2,20,2.0,0.4374,0.74378,0.1087
68,2,5,3.0,0.4246,0.7305,0.1079
69,2,85,9.0,0.4179,0.63544,0.106
70,2,0,4.0,0.4058,0.6095,0.1034
71,2,75,5.0,0.416,0.71446,0.1166
72,2,85,10.0,0.4106,0.69626,0.1113
73,2,95,8.0,0.4161,0.66608,0.1118
74,2,55,8.0,0.4177,0.71754,0.1126
75,2,80,3.0,0.4203,0.67802,0.1205
76,2,20,10.0,0.4095,0.74294,0.1077
77,2,55,2.0,0.4104,0.63476,0.1136
78,2,40,2.0,0.4176,0.70682,0.1097
79,2,50,3.0,0.4168,0.7122,0.1228
80,2,95,3.0,0.4146,0.66498,0.1137
81,2,15,2.0,0.4424,0.72416,0.1137
82,2,0,5.0,0.412,0.71294,0.1013
83,2,75,8.0,0.4123,0.73312,0.1086
84,2,95,2.0,0.4195,0.61382,0.1144
85,2,45,2.0,0.413,0.7736,0.1165
86,2,80,8.0,0.4159,0.66604,0.1108
87,2,100,6.0,0.4163,0.72468,0.121
88,2,60,1.0,0.4103,0.65594,0.108
89,2,0,2.0,0.4124,0.65754,0.1004
90,2,5,7.0,0.411,0.68138,0.108
91,2,35,8.0,0.4152,0.66534,0.1071
92,2,65,5.0,0.4247,0.7484,0.1154
93,2,60,9.0,0.4131,0.69074,0.1128
94,2,10,7.0,0.4165,0.7083,0.1098
95,2,35,10.0,0.4144,0.625,0.1077
96,2,40,5.0,0.4255,0.69784,0.1138
97,2,65,4.0,0.4245,0.72202,0.1162
98,2,85,2.0,0.4102,0.65192,0.1172
99,2,100,5.0,0.4135,0.63782,0.1115
100,2,35,1.0,0.4114,0.65148,0.1069
101,2,25,6.0,0.4194,0.65102,0.1054
102,2,45,10.0,0.4154,0.62478,0.1074
103,2,60,4.0,0.4185,0.84404,0.1236
104,2,60,7.0,0.4089,0.68538,0.1096
105,2,80,1.0,0.4168,0.61696,0.1075
106,2,5,4.0,0.4226,0.76046,0.1053
107,2,55,6.0,0.4153,0.7217,0.1155
108,2,30,3.0,0.4263,0.6932,0.1071
109,2,5,8.0,0.4096,0.69624,0.107
110,2,65,2.0,0.4093,0.60874,0.1064
111,2,70,6.0,0.4153,0.60966,0.1062
112,2,40,10.0,0.4085,0.66456,0.1116
113,2,0,7.0,0.4099,0.72876,0.1076
114,2,15,9.0,0.411,0.68424,0.1112
115,2,45,5.0,0.4186,0.75752,0.1204
116,2,65,6.0,0.4132,0.73426,0.1161
117,2,5,9.0,0.4166,0.64758,0.1048
118,2,10,2.0,0.4406,0.69322,0.1104
119,2,85,5.0,0.417,0.7153,0.1135
120,2,95,10.0,0.4096,0.73974,0.1121
121,2,100,1.0,0.4101,0.6555,0.1077
122,2,25,9.0,0.4126,0.70054,0.1054
123,2,80,6.0,0.4139,0.6627,0.1181
124,2,5,5.0,0.411,0.61568,0.1027
125,2,80,5.0,0.4229,0.65986,0.1184
126,2,90,9.0,0.4168,0.74176,0.1136
127,2,0,8.0,0.4105,0.62902,0.1102
128,2,20,8.0,0.4168,0.66434,0.1064
129,2,55,7.0,0.414,0.64412,0.1132
130,2,0,3.0,0.4154,0.63336,0.1007
131,2,10,5.0,0.4184,0.70456,0.1095
132,2,0,6.0,0.4101,0.66376,0.0996
133,2,20,3.0,0.428,0.82292,0.1133
134,2,15,4.0,0.4162,0.64972,0.1109
135,2,25,8.0,0.4089,0.66774,0.1092
136,2,75,6.0,0.4222,0.68692,0.1169
137,2,60,6.0,0.4168,0.75192,0.1166
138,2,70,1.0,0.4073,0.62586,0.1137
139,2,25,2.0,0.431,0.76724,0.1141
140,2,95,1.0,0.4099,0.70828,0.1086
141,2,15,7.0,0.4128,0.75408,0.1059
142,2,90,10.0,0.4128,0.62416,0.1095
143,2,55,9.0,0.4153,0.70206,0.1063
144,2,65,8.0,0.4178,0.7349,0.1133
145,2,10,8.0,0.4148,0.68836,0.1049
146,2,45,7.0,0.4146,0.64998,0.1122
147,2,95,6.0,0.4154,0.7664,0.1212
148,2,10,6.0,0.4135,0.60884,0.1071
149,2,45,9.0,0.4121,0.63158,0.109
150,2,60,5.0,0.4199,0.67802,0.1155
151,2,90,6.0,0.4192,0.71784,0.1136
152,2,60,10.0,0.411,0.6706,0.1072
153,2,55,4.0,0.4207,0.72182,0.1192
154,2,100,3.0,0.4123,0.6472,0.1209
155,2,35,2.0,0.4293,0.66336,0.1132
156,2,95,4.0,0.4153,0.59812,0.1123
157,2,75,4.0,0.4184,0.60158,0.1115
158,2,50,5.0,0.4159,0.62898,0.1133
159,2,100,4.0,0.4169,0.7203,0.1199
160,2,85,3.0,0.4146,0.67698,0.115
161,2,5,2.0,0.4284,0.6674,0.1088
162,2,20,1.0,0.4304,0.76042,0.1073
163,2,40,9.0,0.4127,0.66584,0.104
164,2,5,1.0,0.4326,0.75126,0.1087
165,2,75,10.0,0.4079,0.70712,0.1177
166,2,100,7.0,0.4163,0.7434,0.1209
167,2,95,5.0,0.4151,0.7945,0.1264
168,2,30,2.0,0.429,0.75614,0.1098
169,2,50,6.0,0.4137,0.69586,0.104
170,2,40,8.0,0.4134,0.5977,0.1013
171,2,60,3.0,0.4225,0.71768,0.1178
172,2,55,1.0,0.4031,0.7457,0.1162
173,2,30,10.0,0.4124,0.7033,0.1078
174,2,60,2.0,0.4131,0.7011,0.114
175,2,85,1.0,0.4055,0.57198,0.1121
176,2,40,3.0,0.4319,0.724,0.1138
177,2,25,1.0,0.4222,0.6743,0.1107
178,2,20,9.0,0.4093,0.75412,0.1082
179,2,25,7.0,0.4158,0.74626,0.1112
180,2,90,1.0,0.4042,0.5996,0.1128
181,2,35,4.0,0.4295,0.72398,0.1095
182,2,90,2.0,0.4145,0.64132,0.112
183,2,100,10.0,0.41,0.68446,0.1123
184,2,25,5.0,0.4186,0.83504,0.119
185,2,5,10.0,0.4082,0.64882,0.1035
186,2,70,4.0,0.4231,0.673,0.1181
187,2,65,7.0,0.4149,0.71392,0.1099
188,2,90,5.0,0.4177,0.72538,0.1188
189,2,70,7.0,0.4153,0.6511,0.1118
190,2,10,9.0,0.4139,0.69928,0.1134
191,2,10,1.0,0.4428,0.64476,0.0994
192,2,40,7.0,0.4168,0.64716,0.1109
193,2,30,5.0,0.4146,0.7211,0.1168
194,2,5,6.0,0.4188,0.66802,0.1056
195,2,55,5.0,0.4167,0.70334,0.1172
196,2,20,4.0,0.4223,0.74526,0.1101
197,2,15,6.0,0.4152,0.65038,0.1081
198,2,30,7.0,0.4169,0.69042,0.1134
199,2,65,9.0,0.4179,0.65208,0.1073
200,2,35,9.0,0.4123,0.72358,0.111
201,2,30,4.0,0.4255,0.80924,0.1196
202,2,25,3.0,0.4298,0.77778,0.1182
203,2,50,7.0,0.4067,0.63886,0.1101
204,2,15,10.0,0.4085,0.72422,0.1131
205,2,70,10.0,0.4155,0.68856,0.111
206,2,100,2.0,0.416,0.68566,0.1161
207,2,80,2.0,0.419,0.63356,0.1149
208,2,10,10.0,0.4074,0.57038,0.1039
209,2,10,4.0,0.424,0.72422,0.1072
210,2,55,10.0,0.4225,0.68482,0.1089
